dot_id,label,x,y,flg_type#1,flg_type#2,flg_type#3,flg_type#4,flg_type#5,flg_type#6,flg_type#7,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
f1d8d5d85ffd459586e6f03ed07fd9f2,1,114.101521,35.304904,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.540864791,-0.269629926,1932.212753,1.421686747,2,0,41000,1,0,0,13,1,0
d92f920bd0d04bf7aaaa8b7ef1ed5b10,1,113.569274,34.340343,0,1,0,0,0,0,0,485,0,0,1,1000,8,1.197954722,0.593604331,43.40277778,1,1,0,53000,5,0,0,0,0,0
a620f9ab628a4bafb4332eec9daf87af,0,117.17726,31.856524,0,0,1,0,0,0,0,998,0,0,0,0,1,0.79298694,0.006773244,53.6441803,1.111111111,8,1,0,0,0,13,28,23,27
6d4aaaed4d5244e7bfda0d5567d39c37,1,106.716655,26.856667,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.54140625,0,554.6875,0.986111111,5,0,42000,2,0,9,26,0,4
32b0cdbc22674be1b64354ec0aee12cf,0,106.98963,29.508723,0,0,0,0,1,0,0,468,0,0,1,1000,8,0.900423898,-0.891555388,6469.618056,4.431034483,3,0,0,0,0,2,27,3,0
6dbfdb74ccfa444f808a09a4d61066c2,0,117.22103,31.885913,0,0,0,0,0,1,0,0,0,0,0,0,8,0.749856938,0.555661548,1777.777778,1,4,0,0,0,0,13,29,27,7
4157dded11dc4d6987cc34f121eb65db,0,117.220942,31.885682,0,0,1,0,0,0,0,975,0,0,0,0,8,0.834777724,0.053241052,186.1979167,0.634615385,5,0,0,0,0,13,29,27,7
cfb77cbfe65846eca731245281c414c0,1,118.654097,28.976166,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.920128423,0.215851512,1034.722222,0.429530201,2,0,41000,1,0,10,23,3,0
e410f11d5590450da81ab5373286cc44,1,117.419777,39.923803,0,0,0,0,0,1,0,0,0,0,0,0,1,0.809128147,0.862352779,680.0889969,0.931428571,0,1,47000,6,0,0,0,0,0
1dd381436d7a4adb814b18e0f50b46f8,0,117.204333,31.853223,0,0,0,0,0,1,0,0,0,0,0,0,8,0.178860588,0.869702807,1654.947917,0.991935484,4,2,45000,4,0,29,45,26,45
c27e072fb9ba4eaf9e0e2f60848473f0,0,117.136573,31.845387,0,1,0,0,0,0,0,998,1,1000,0,0,8,0.985513576,0.508758987,824.6527778,0.842105263,0,4,47000,6,0,23,64,21,18
db7af4c2b53d4682b5375b8baabb4d38,0,117.24384,31.885865,0,0,0,0,1,0,0,1000,0,0,0,0,8,0.300752627,-0.93746295,683.3767361,2.85106383,5,0,44000,4,0,20,47,30,21
3b7b8f24afe745ef9820f9a8d50acf6b,1,119.080078,26.245073,0,0,0,1,0,0,0,1000,0,0,1,1000,8,0.383164255,-0.40235138,31.35850694,1,2,0,41000,1,0,1,2,0,0
c2670b96ac904ff6bfc6f2015c367cc9,0,117.204863,31.847843,0,0,1,0,0,0,0,990,0,0,0,0,8,0.4907508,-0.022641045,84.63541667,0.866666667,11,0,45000,5,0,15,48,30,36
637ac2b438d5413795a7824b120cb31d,1,120.691067,31.682824,0,0,0,0,1,0,0,0,0,0,1,1000,1,0.839296952,-0.236782069,362.9207611,4.372881356,2,0,52000,3,0,13,12,8,6
00ac6d4b33724049b2f61c8f06f12a01,1,111.550401,36.127785,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.771740079,0.350938536,1329.752604,1.357894737,2,0,42000,3,0,0,11,0,0
b3f6150ad4c74a53b4bd8bccf16d84ab,0,117.200507,31.844804,0,0,0,0,1,0,0,997,0,0,0,0,8,0.91416859,-0.993616871,6523.4375,16.7,2,0,45000,5,0,37,76,38,53
0e2ae7a32f0048fd8a43fddd35e2a06b,0,114.595306,30.547482,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.295365313,-0.705341229,53.66161616,1.0625,1,0,41000,1,0,11,22,2,0
d3d767d006794338a14084b49910b275,1,99.147229,24.975031,0,1,0,0,0,0,0,0,0,0,1,1000,8,0.876488419,0.736841833,199.213256,0.755102041,1,0,53000,5,0,0,6,0,0
a86c77f4b22142cb9290dee627f146bc,1,104.072817,30.866306,0,0,0,0,0,1,0,0,0,0,1,1000,1,0.416404292,-0.080910324,855.1597595,1.071038251,1,0,45000,5,0,1,1,0,0
f031ebc35a2e4e45ae832b9f0e3a161e,0,117.170877,31.887812,0,1,0,0,0,0,0,996,1,1000,0,0,8,0.776691349,0.393406668,164.0625,0.857142857,0,1,45000,6,0,9,5,0,0
5a9a20111a82417db12f3e345f513dcb,1,116.518962,39.416187,0,0,0,1,0,0,0,1000,0,0,1,1000,8,0.175134078,-0.951651833,31.64556962,0.888888889,1,1,0,0,0,2,9,3,0
9c1922544cf94cd4917224cccd13f5d1,1,106.090218,30.754901,0,1,0,0,0,0,0,397,0,0,1,1000,8,0.805713404,-0.091361408,29.62239583,1.615384615,2,0,44000,5,0,3,22,12,3
